category,code,name,gender,image,product_url,price,sub_category
shoes,818952-008,Kobe Mentality 2,mens,http://images.nike.com/is/image/DotCom/PDP_HERO/818952_008_A_PREM/kobe-mentality-2-mens-basketball-shoe.jpg,http://store.nike.com/us/en_us/pd/kobe-mentality-2-mens-basketball-shoe/pid-11155469/pgid-11917917,$69.97,basketball
shoes,834268-002,Jordan Ultra.Fly,mens,http://images.nike.com/is/image/DotCom/PDP_HERO/834268_002_A_PREM/jordan-ultrafly-mens-basketball-shoe.jpg,http://store.nike.com/us/en_us/pd/jordan-ultrafly-mens-basketball-shoe/pid-11156051/pgid-11917451,$94.97,basketball
shoes,844369-016,Nike Hypershift,mens,http://images.nike.com/is/image/DotCom/PDP_HERO/844369_016_A_PREM/hypershift-mens-basketball-shoe.jpg,http://store.nike.com/us/en_us/pd/hypershift-mens-basketball-shoe/pid-11156273/pgid-11814454,$69.97,basketball
shoes,844380-001,Nike Zoom LeBron Soldier 10 (Team),mens,http://images.nike.com/is/image/DotCom/844380_A_V1?&$img=844380_001_A_PREM&$PDP_HERO$,http://store.nike.com/us/en_us/pd/zoom-lebron-soldier-10-team-mens-basketball-shoe/pid-11056429/pgid-11814417,$94.97,basketball
shoes,843390-003,Nike Hyperdunk 2016 Flyknit,mens,http://images.nike.com/is/image/DotCom/PDP_HERO/843390_003_A_PREM/hyperdunk-2016-flyknit-mens-basketball-shoe.jpg,http://store.nike.com/us/en_us/pd/hyperdunk-2016-flyknit-mens-basketball-shoe/pid-11156108/pgid-11917946,$139.97,basketball
shoes,836183-005,Kobe XI,mens,http://images.nike.com/is/image/DotCom/PDP_HERO/836183_005_A_PREM/kobe-xi-mens-basketball-shoe.jpg,http://store.nike.com/us/en_us/pd/kobe-xi-mens-basketball-shoe/pid-11156096/pgid-11877575,$134.97,basketball
shoes,820321-601,Nike Hyperdunk 08,mens,http://images.nike.com/is/image/DotCom/PDP_HERO/820321_601_A_PREM/hyperdunk-08-mens-basketball-shoe.jpg,http://store.nike.com/us/en_us/pd/hyperdunk-08-mens-basketball-shoe/pid-11155678/pgid-11876387,$109.97,basketball
shoes,852439-002,Nike Lebron Witness,mens,http://images.nike.com/is/image/DotCom/PDP_HERO/852439_002_A_PREM/lebron-witness-mens-basketball-shoe.jpg,http://store.nike.com/us/en_us/pd/lebron-witness-mens-basketball-shoe/pid-11157084/pgid-11885790,$79.97,basketball
shoes,854294-400,Jordan CP3.X,mens,http://images.nike.com/is/image/DotCom/PDP_HERO/854294_400_A_PREM/jordan-cp3x-mens-basketball-shoe.jpg,http://store.nike.com/us/en_us/pd/jordan-cp3x-mens-basketball-shoe/pid-11157286/pgid-11917877,$79.97,basketball
shoes,854294-600,Jordan CP3.X,mens,http://images.nike.com/is/image/DotCom/PDP_HERO/854294_600_A_PREM/jordan-cp3x-mens-basketball-shoe.jpg,http://store.nike.com/us/en_us/pd/jordan-cp3x-mens-basketball-shoe/pid-11157287/pgid-11917937,$94.97,basketball
shoes,844787-004,Nike Prime Hype DF 2016,mens,http://images.nike.com/is/image/DotCom/844787_A_V1b?&$img=844787_004_A_PREM&$PDP_HERO$,http://store.nike.com/us/en_us/pd/prime-hype-df-2016-mens-basketball-shoe/pid-11156533/pgid-11917925,$74.97,basketball
shoes,844363-002,Nike Hyperdunk 2016 Low,mens,http://images.nike.com/is/image/DotCom/PDP_HERO/844363_002_A_PREM/hyperdunk-2016-low-mens-basketball-shoe.jpg,http://store.nike.com/us/en_us/pd/hyperdunk-2016-low-mens-basketball-shoe/pid-11156263/pgid-11917939,$104.97,basketball
shoes,844359-030,Nike Hyperdunk 2016,mens,http://images.nike.com/is/image/DotCom/PDP_HERO/844359_030_A_PREM/hyperdunk-2016-mens-basketball-shoe.jpg,http://store.nike.com/us/en_us/pd/hyperdunk-2016-mens-basketball-shoe/pid-11156255/pgid-11814392,$104.97,basketball
shoes,844677-012,Jordan Super.Fly 5,mens,http://images.nike.com/is/image/DotCom/PDP_HERO/844677_012_A_PREM/jordan-superfly-5-mens-basketball-shoe.jpg,http://store.nike.com/us/en_us/pd/jordan-superfly-5-mens-basketball-shoe/pid-11156489/pgid-11917452,$99.97,basketball
shoes,843390-010,Nike Hyperdunk 2016 Flyknit,mens,http://images.nike.com/is/image/DotCom/PDP_HERO/843390_010_A_PREM/hyperdunk-2016-flyknit-mens-basketball-shoe.jpg,http://store.nike.com/us/en_us/pd/hyperdunk-2016-flyknit-mens-basketball-shoe/pid-11055697/pgid-11917383,$169.97,basketball
shoes,819476-005,Nike Air Max 1 Ultra Essential,mens,http://images.nike.com/is/image/DotCom/PDP_HERO/819476_005_A_PREM/air-max-1-ultra-essential-mens-shoe.jpg,http://store.nike.com/us/en_us/pd/air-max-1-ultra-essential-mens-shoe/pid-11155581/pgid-10973969,$120,lifestyle
shoes,777535-004,Nike Air Trainer (Victor Cruz),mens,http://images.nike.com/is/image/DotCom/PDP_HERO/777535_004_A_PREM/air-trainer-victor-cruz-mens-shoe.jpg,http://store.nike.com/us/en_us/pd/air-trainer-victor-cruz-mens-shoe/pid-11233792/pgid-11626020,$140,lifestyle
shoes,876386-002,Nike Aptare Essential,mens,http://images.nike.com/is/image/DotCom/PDP_HERO/876386_002_A_PREM/aptare-essential-mens-shoe.jpg,http://store.nike.com/us/en_us/pd/aptare-essential-mens-shoe/pid-11246867/pgid-11464903,$90,lifestyle
